Year,Job Category,Job Title,Salary (USD),Country Code,Location Group,Experience Level,Employment Type,Work Model
2024,Data Engineer,Data Engineer,148100,United States,Global,Mid-level,Full-time,Remote
2024,Data Engineer,Data Engineer,98700,United States,Global,Mid-level,Full-time,Remote
2024,Data Scientist,Data Scientist,140032,United States,Global,Senior-level,Full-time,Remote
2024,Data Scientist,Data Scientist,100022,United States,Global,Senior-level,Full-time,Remote
2024,Other,BI Developer,120000,United States,Global,Mid-level,Full-time,On-site
2024,Other,BI Developer,62100,United States,Global,Mid-level,Full-time,On-site
2024,Data Analyst,Research Analyst,250000,United States,Global,Entry-level,Full-time,On-site
2024,Data Analyst,Research Analyst,150000,United States,Global,Entry-level,Full-time,On-site
2024,Data Engineer,Data Engineer,219650,United States,Global,Executive-level,Full-time,Remote
2024,Data Engineer,Data Engineer,136000,United States,Global,Executive-level,Full-time,Remote
2024,Other,Business Intelligence Developer,87800,United States,Global,Mid-level,Full-time,On-site
2024,Other,Business Intelligence Developer,76300,United States,Global,Mid-level,Full-time,On-site
2024,Data Scientist,Data Scientist,148100,United States,Global,Mid-level,Full-time,Remote
2024,Data Scientist,Data Scientist,98700,United States,Global,Mid-level,Full-time,Remote
2024,Data Engineer,Data Engineer,145500,United States,Global,Mid-level,Full-time,On-site
2024,Data Engineer,Data Engineer,93000,United States,Global,Mid-level,Full-time,On-site
2024,Data Scientist,Data Scientist,85000,United States,Global,Mid-level,Full-time,On-site
2024,Data Scientist,Data Scientist,75000,United States,Global,Mid-level,Full-time,On-site
2024,Data Scientist,Data Scientist,105000,United States,Global,Mid-level,Full-time,On-site
2024,Data Scientist,Data Scientist,70000,United States,Global,Mid-level,Full-time,On-site
2024,Data Engineer,Data Engineer,204662,United States,Global,Senior-level,Full-time,On-site
2024,Data Engineer,Data Engineer,184662,United States,Global,Senior-level,Full-time,On-site
2024,Data Scientist,Data Scientist,179000,United States,Global,Mid-level,Full-time,On-site
2024,Data Scientist,Data Scientist,112000,United States,Global,Mid-level,Full-time,On-site
2024,Data Analyst,Data Analyst,115000,United States,Global,Entry-level,Full-time,On-site
2024,Data Analyst,Data Analyst,85000,United States,Global,Entry-level,Full-time,On-site
2024,Data Scientist,Director of Data Science,225000,United States,Global,Executive-level,Full-time,On-site
2024,Data Scientist,Director of Data Science,180000,United States,Global,Executive-level,Full-time,On-site
2024,ML/AI Engineer,MLOps Engineer,175000,United States,Global,Senior-level,Full-time,On-site
2024,ML/AI Engineer,MLOps Engineer,110000,United States,Global,Senior-level,Full-time,On-site
2024,Data Scientist,Machine Learning Scientist,252000,United States,Global,Senior-level,Full-time,On-site
2024,Data Scientist,Machine Learning Scientist,157500,United States,Global,Senior-level,Full-time,On-site
